6.196182502541821430e-02,3.734685961802594600e-01,1.307988909644783204e+00,2.865522861081921668e+00,5.046071019896986698e+00,7.849636974052365268e+00,1.127624370295939826e+01,1.532604012477029620e+01,2.000000000000000000e+01
1.241446412302208840e-01,4.346578618148468909e-01,1.366197523568724925e+00,2.918764416977454701e+00,5.092362434641107605e+00,7.887010983133603048e+00,1.130280136632174681e+01,1.534011077379638976e+01,2.000000000000000000e+01
1.865157954267665785e-01,4.960355522444031551e-01,1.424594822697312857e+00,2.972196733426925253e+00,5.138853993230434014e+00,7.924616640570805615e+00,1.132965873492082309e+01,1.535446410687464436e+01,2.000000000000000000e+01
2.490452783968190309e-01,5.575722034180553566e-01,1.483152978481764306e+00,3.025795656513267318e+00,5.185527515044041635e+00,7.962435066494238711e+00,1.135675295005206209e+01,1.536899254086514688e+01,2.000000000000000000e+01
3.117057889877594690e-01,6.192411019244824510e-01,1.541847040734651397e+00,3.079539165560209124e+00,5.232362349584046335e+00,8.000435513955348910e+00,1.138402769663839287e+01,1.538363819655909381e+01,2.000000000000000000e+01
3.744726678212244586e-01,6.810180555442268968e-01,1.600654218713234211e+00,3.133405785012644884e+00,5.279334924323022094e+00,8.038584694881869552e+00,1.141143829116518482e+01,1.539836512840995120e+01,2.000000000000000000e+01
4.373235766773429511e-01,7.428809691436308871e-01,1.659553146542494639e+00,3.187373995336061139e+00,5.326420453775225994e+00,8.076851074934975117e+00,1.143894960401107497e+01,1.541314878899530783e+01,2.000000000000000000e+01
5.002380182047242441e-01,8.048093695395237557e-01,1.718523423543922179e+00,3.241422391231574274e+00,5.373594460823306385e+00,8.115206278525960215e+00,1.146653365059862217e+01,1.542797129702374193e+01,2.000000000000000000e+01
5.631968785676845224e-01,8.667840185550889087e-01,1.777545438517302179e+00,3.295530070130318290e+00,5.420833697635761617e+00,8.153625295261401007e+00,1.149416776222892800e+01,1.544281902170263265e+01,2.000000000000000000e+01
6.261821018363421532e-01,9.287866676011613531e-01,1.836600364895618842e+00,3.349676988936157507e+00,5.468116596233784321e+00,8.192086251055757273e+00,1.152183328829051057e+01,1.545768122376655995e+01,2.000000000000000000e+01
