0.000000000000000000e+00,2.000000000000000389e-01,8.000000000000001554e-01,1.800000000000000488e+00,3.200000000000000622e+00,5.000000000000000000e+00,7.200000000000001954e+00,9.800000000000002487e+00,1.280000000000000249e+01,1.620000000000000284e+01,2.000000000000000000e+01
1.347293369715218958e-01,3.333820436018067324e-01,9.293401634926611310e-01,1.922603696644085369e+00,3.313172643056078837e+00,5.101047002728641644e+00,7.286226775661775790e+00,9.868711961855478165e+00,1.284850256130975055e+01,1.622559857402459116e+01,2.000000000000000000e+01
2.685510742310048826e-01,4.658655634886949004e-01,1.057809031261764954e+00,2.044381477550214932e+00,3.425582902354044723e+00,5.201413305673253440e+00,7.371872687507845079e+00,9.936961047857815643e+00,1.289667838672316336e+01,1.625102470410389444e+01,2.000000000000000000e+01
4.014713257938207214e-01,5.974566125358825586e-01,1.185412472762068070e+00,2.165338906472377367e+00,3.537235913666810116e+00,5.301103494345365874e+00,7.456941648508046860e+00,1.000475037615485085e+01,1.294452967728577875e+01,1.627627955190082787e+01,2.000000000000000000e+01
5.334961644884783638e-01,7.281612028435936468e-01,1.312156317908939496e+00,2.285481509684515800e+00,3.648136778170322447e+00,5.400122123366358551e+00,7.541437545272628107e+00,1.007208304388912623e+01,1.299205861921585381e+01,1.630136427125281529e+01,2.000000000000000000e+01
6.646316222340797886e-01,8.579853060117390573e-01,1.438046357344716863e+00,2.404814776233012985e+00,3.758290562676627644e+00,5.498473716675559508e+00,7.625364238229813019e+00,1.013896212733938285e+01,1.303926738400427077e+01,1.632628000822447945e+01,2.000000000000000000e+01
7.948836903159084422e-01,9.869348534127494466e-01,1.563088342703272238e+00,2.523344158187477149e+00,3.867702299865363624e+00,5.596162767736931443e+00,7.708725561802182824e+00,1.020539068206111644e+01,1.308615812851372873e+01,1.635102790116002680e+01,2.000000000000000000e+01
9.242583196591436234e-01,1.115015736462552143e+00,1.687287986872778145e+00,2.641075070889820964e+00,3.976376988513681265e+00,5.693193739744357273e+00,7.791525324581853873e+00,1.027137174302616529e+01,1.313273299507729419e+01,1.637560908073524146e+01,2.000000000000000000e+01
1.052761421100760764e+00,1.242233806889753156e+00,1.810650964256730333e+00,2.758012893201692961e+00,4.084319593724639930e+00,5.789571065825570351e+00,7.873767309504488665e+00,1.033690832476139043e+01,1.317899411159627654e+01,1.640002467000914876e+01,2.000000000000000000e+01
1.180398865659577634e+00,1.368594877002981880e+00,1.933182911033194618e+00,2.874162967750216069e+00,4.191535047154046012e+00,5.885299149244683115e+00,7.955455274022131817e+00,1.040200342148638768e+01,1.322494359163744981e+01,1.642427578447532355e+01,2.000000000000000000e+01
