0.000000000000000000e+00,5.540166204986148729e-02,2.216066481994459492e-01,4.986149584487534203e-01,8.864265927977837967e-01,1.385041551246537272e+00,1.994459833795013681e+00,2.714681440443213134e+00,3.545706371191135187e+00,4.487534626038780061e+00,5.540166204986149090e+00,6.703601108033241829e+00,7.977839335180054725e+00,9.362880886426589555e+00,1.085872576177285254e+01,1.246537396121883745e+01,1.418282548476454075e+01,1.601108033240996775e+01,1.795013850415512024e+01,2.000000000000000000e+01
1.307176484804486449e+00,1.358957159361814826e+00,1.514299183033799512e+00,1.773202555820440951e+00,2.135667277721739143e+00,2.601693348737693867e+00,3.171280768868304900e+00,3.844429538113572242e+00,4.621139656473497226e+00,5.501411123948077631e+00,6.485243940537315233e+00,7.572638106241210920e+00,8.763593621059760252e+00,1.005811048499296412e+01,1.145618869804083140e+01,1.295782826020335321e+01,1.456302917148052778e+01,1.627179143187235866e+01,1.808411504137884762e+01,2.000000000000000000e+01
2.528917451487682211e+00,2.577313802037577872e+00,2.722502853687264412e+00,2.964484606436742720e+00,3.303259060286012350e+00,3.738826215235072858e+00,4.271186071283924690e+00,4.900338628432566956e+00,5.626283886681001434e+00,6.449021846029226346e+00,7.368552506477243469e+00,8.384875868025051915e+00,9.497991930672650795e+00,1.070790069442003833e+01,1.201460215926722341e+01,1.341809632521419715e+01,1.491838319226095777e+01,1.651546276040751238e+01,1.820933502965385742e+01,2.000000000000000000e+01
3.670806865062350433e+00,3.716040087042787210e+00,3.851739752984097098e+00,4.077905862886280097e+00,4.394538416749337983e+00,4.801637414573267648e+00,5.299202856358071756e+00,5.887234742103748530e+00,6.565733071810299748e+00,7.334697845477721856e+00,8.194129063106020183e+00,9.144026724695191177e+00,1.018439083024523484e+01,1.131522137975615117e+01,1.253651837322794371e+01,1.384828181066060893e+01,1.525051169205414503e+01,1.674320801740855202e+01,1.832637078672383879e+01,2.000000000000000000e+01
4.738063729153417114e+00,4.780340560928615368e+00,4.907171056254209240e+00,5.118555215130200509e+00,5.414493037556589172e+00,5.794984523533374343e+00,6.260029673060555133e+00,6.809628486138132430e+00,7.443780962766107123e+00,8.162487102944478323e+00,8.965746906673246031e+00,9.853560373952410245e+00,1.082592750478197097e+01,1.188284829916192464e+01,1.302432275709228193e+01,1.425035087857303395e+01,1.556093266360417715e+01,1.695606811218571863e+01,1.843575722431765840e+01,2.000000000000000000e+01
5.735565939445184114e+00,5.775079607202954435e+00,5.893620610476261845e+00,6.091188949265109898e+00,6.367784623569496816e+00,6.723407633389423488e+00,7.158057978724889026e+00,7.671735659575892541e+00,8.264440675942436698e+00,8.936173027824519721e+00,9.686932715222141610e+00,1.051671973813530414e+01,1.142553409656400198e+01,1.241337579050824047e+01,1.348024481996801960e+01,1.462614118494333937e+01,1.585106488543419268e+01,1.715501592144058662e+01,1.853799429296252299e+01,2.000000000000000000e+01
6.667872578095255243e+00,6.704803678986959170e+00,6.815596981662065623e+00,7.000252486120580819e+00,7.258770192362501206e+00,7.591150100387827671e+00,7.997392210196559326e+00,8.477496521788696171e+00,9.031463035164239983e+00,9.659291750323188097e+00,1.036098266726554407e+01,1.113653578599130611e+01,1.198595110650047246e+01,1.290922862879304134e+01,1.390636835286902162e+01,1.497737027872840798e+01,1.612223440637119509e+01,1.734096073579738828e+01,1.863354926700699110e+01,2.000000000000000000e+01
7.539244751011802137e+00,7.573762078571327550e+00,7.677314061249897570e+00,7.849900699047518415e+00,8.091521991964187421e+00,8.402177939999903700e+00,8.781868543154670803e+00,9.230593801428481626e+00,9.748353714821345051e+00,1.033514828333325397e+01,1.099097750696421016e+01,1.171584138571421718e+01,1.250973991958327147e+01,1.337267310857137304e+01,1.430464095267852365e+01,1.530564345190472331e+01,1.637568060624996846e+01,1.751475241571426267e+01,1.872285888029760414e+01,2.000000000000000000e+01
8.353665063230874210e+00,8.385926378845194762e+00,8.482710325688149311e+00,8.644016903759744963e+00,8.869846113059978165e+00,9.160197953588847142e+00,9.515072425346355445e+00,9.934469528332499522e+00,1.041838926254728470e+01,1.096683162799070566e+01,1.157979662466276594e+01,1.225728425256346199e+01,1.299929451169279737e+01,1.380582740205076853e+01,1.467688292363738078e+01,1.561246107645262882e+01,1.661256186049651262e+01,1.767718527576903753e+01,1.880633132227019644e+01,2.000000000000000000e+01
9.114855821405951630e+00,9.145008575363277714e+00,9.235466837235247084e+00,9.386230607021868622e+00,9.597299884723140551e+00,9.868674670339057542e+00,1.020035496386962492e+01,1.059234076531483737e+01,1.104463207467470376e+01,1.155722889194921521e+01,1.213013121713837350e+01,1.276333905024218396e+01,1.345685239126064126e+01,1.421067124019374539e+01,1.502479559704149992e+01,1.589922546180390484e+01,1.683396083448095482e+01,1.782900171507265341e+01,1.888434810357900062e+01,2.000000000000000000e+01
