3.519139158795680511e-01,2.532018363977655451e+00,9.072331708271917705e+00,2.000000000000000000e+01
8.399253071896755074e-01,2.966397839287166605e+00,9.345815435579639896e+00,2.000000000000000000e+01
1.391122160633446514e+00,3.457314410973347130e+00,9.655891161993048755e+00,2.000000000000000000e+01
1.965616605973396602e+00,3.968671072821305490e+00,9.977834473365032153e+00,2.000000000000000000e+01
2.542520108417289038e+00,4.481889328086402280e+00,1.029999698709374201e+01,2.000000000000000000e+01
3.111266398756400431e+00,4.987670044015479753e+00,1.061688097979271816e+01,2.000000000000000000e+01
3.666725707096827325e+00,5.481531544131960310e+00,1.092594905523735882e+01,2.000000000000000000e+01
4.206578048251985891e+00,5.961460884490239032e+00,1.122610939320499845e+01,2.000000000000000000e+01
4.729936277110874165e+00,6.426697471162747810e+00,1.151698105331836963e+01,2.000000000000000000e+01
5.236634823621350243e+00,6.877109240974697002e+00,1.179853249303473639e+01,2.000000000000000000e+01
5.726865590075838064e+00,7.312874714538994070e+00,1.207090208792846298e+01,2.000000000000000000e+01
6.200992682054983440e+00,7.734321649020765577e+00,1.233430854991811110e+01,2.000000000000000000e+01
6.659458581926294585e+00,8.141845466578404356e+00,1.258900612053473189e+01,2.000000000000000000e+01
7.102736866068634747e+00,8.535868195251469004e+00,1.283526218279997444e+01,2.000000000000000000e+01
7.531308543023456537e+00,8.916817940724440561e+00,1.307334613382739263e+01,2.000000000000000000e+01
7.945650354465871423e+00,9.285118746675303569e+00,1.330352392330359912e+01,2.000000000000000000e+01
8.346229124024757695e+00,9.641185704069620499e+00,1.352605544420421069e+01,2.000000000000000000e+01
8.733499157393346479e+00,9.985422707594700853e+00,1.374119335819876220e+01,2.000000000000000000e+01
9.107901177168576723e+00,1.031822154307898032e+01,1.394918264081019110e+01,2.000000000000000000e+01
9.469862025452387755e+00,1.063996164048064585e+01,1.415026048556541838e+01,2.000000000000000000e+01
9.819794746605602143e+00,1.095101015622462981e+01,1.434465638508171281e+01,2.000000000000000000e+01
1.015809885443424143e+01,1.125172221514094417e+01,1.453259229726105595e+01,2.000000000000000000e+01
1.048516068511735533e+01,1.154244122642181303e+01,1.471428285033518790e+01,2.000000000000000000e+01
1.080135378623525533e+01,1.182349923055726038e+01,1.488993556352327374e+01,2.000000000000000000e+01
1.110703931704555636e+01,1.209521725570707673e+01,1.505975107169163252e+01,2.000000000000000000e+01
1.140256644767734606e+01,1.235790567282717412e+01,1.522392334827665472e+01,2.000000000000000000e+01
1.168827275123610754e+01,1.261186454435090276e+01,1.538263992369528488e+01,2.000000000000000000e+01
1.196448458600037590e+01,1.285738396399051986e+01,1.553608209796094641e+01,2.000000000000000000e+01
1.223151746649539895e+01,1.309474438661496443e+01,1.568442514697365553e+01,2.000000000000000000e+01
1.248967642303300174e+01,1.332421694785692345e+01,1.582783852232869215e+01,2.000000000000000000e+01
