Évolution temporelle de la concentration (Euler)
-2.290634794714047334e-03,1.627980247723946616e-04,7.523096483231721081e-03,3.747429268567306626e-01,2.000000000000000000e+01
-6.514776658753448392e-03,6.373808651532017911e-04,2.209385343687315234e-02,7.376469924784025967e-01,2.000000000000000000e+01
-1.234132449827905070e-02,1.559792240327626672e-03,4.326314245614765880e-02,1.089180657616845016e+00,2.000000000000000000e+01
-1.946364305688114138e-02,3.053951733978252803e-03,7.060673610655643362e-02,1.429791663521949641e+00,2.000000000000000000e+01
-2.759808891441794046e-02,5.232427174212858981e-03,1.037239754401052677e-01,1.759908012638680574e+00,2.000000000000000000e+01
-3.648261861382997434e-02,8.197162985397249066e-03,1.422365077830789193e-01,2.079938900923247402e+00,2.000000000000000000e+01
-4.587547449758863638e-02,1.204016690567866373e-02,1.857870911154805571e-01,2.390275604223054184e+00,2.000000000000000000e+01
-5.555394406914545419e-02,1.684415733670770188e-02,2.340384615542671631e-01,2.691292321039878477e+00,2.000000000000000000e+01
-6.531318891619931899e-02,2.268317347148208693e-02,2.866722606345263324e-01,2.983346973877000430e+00,2.000000000000000000e+01
-7.496513944243199390e-02,2.962315023199395617e-02,3.433880192552717925e-01,3.266781971258433614e+00,2.000000000000000000e+01
-8.433745185318464177e-02,3.772245994013200682e-02,4.039021953200819803e-01,3.541924932401591342e+00,2.000000000000000000e+01
-9.327252402893577987e-02,4.703242254275625395e-02,4.679472622578323415e-01,3.809089376423459239e+00,2.000000000000000000e+01
