0.000000000000000000e+00,4.081632653061224025e-01,1.632653061224489610e+00,3.673469387755101678e+00,6.530612244897958441e+00,1.020408163265305923e+01,1.469387755102040671e+01,2.000000000000000000e+01
6.747850219221307455e-02,4.742646552086984824e-01,1.694623114258154706e+00,3.728553879340581911e+00,6.576056950455979155e+00,1.023713232760434799e+01,1.471178001078568798e+01,2.000000000000000000e+01
1.347293369715218958e-01,5.401430239721030091e-01,1.756384084973846349e+00,3.783452519976752360e+00,6.621348328980819709e+00,1.027007151198604973e+01,1.472962206899244286e+01,2.000000000000000000e+01
2.017532724707260527e-01,6.057991240529561061e-01,1.817936678799646266e+00,3.838165936710796533e+00,6.666486897786406907e+00,1.030289956202647694e+01,1.474740392943100709e+01,2.000000000000000000e+01
2.685510742310048826e-01,6.712337053691476152e-01,1.879281598783575813e+00,3.892694754474289365e+00,6.711473172441288604e+00,1.033561685268457175e+01,1.476512579520414192e+01,2.000000000000000000e+01
3.351235052106571466e-01,7.364475153083988035e-01,1.940419545601623774e+00,3.947039596090331948e+00,6.756307666774523213e+00,1.036822375765419757e+01,1.478278786872935591e+01,2.000000000000000000e+01
4.014713257938207214e-01,8.014412987368039198e-01,2.001351217565753515e+00,4.001201082280669397e+00,6.800990892881552341e+00,1.040072064936840057e+01,1.480039035174121587e+01,2.000000000000000000e+01
4.675952937991501024e-01,8.662157980073306174e-01,2.062077310631872606e+00,4.055179831672774959e+00,6.845523361130038786e+00,1.043310789900366409e+01,1.481793344529365086e+01,2.000000000000000000e+01
5.334961644884783638e-01,9.307717529683052771e-01,2.122598518407786017e+00,4.108976460806920805e+00,6.889905580165708976e+00,1.046538587648415053e+01,1.483541734976224724e+01,2.000000000000000000e+01
5.991746905754435915e-01,9.951099009718631372e-01,2.182915532161121774e+00,4.162591584143219059e+00,6.934138056918155435e+00,1.049755495048592913e+01,1.485284226484654546e+01,2.000000000000000000e+01
6.646316222340797886e-01,1.059230976882363784e+00,2.243029040827216214e+00,4.216025814068636635e+00,6.978221296606624158e+00,1.052961548844118056e+01,1.487020838957230495e+01,2.000000000000000000e+01
