Évolution temporelle de la concentration (Crank-Nicholson)
8.294653587144888707e-02,1.332943915932702117e+00,5.082936056116461820e+00,1.133215469064883862e+01,2.000000000000000000e+01
1.658491488274288772e-01,1.415889159816508203e+00,5.166009192783746151e+00,1.142930153353174383e+01,2.173808099042457798e+01
2.485588439610539879e-01,1.498843950351439247e+00,5.249699269522595024e+00,1.155893877133705949e+01,2.362720825731291541e+01
3.308820856933154531e-01,1.581828824633813468e+00,5.334669041455307514e+00,1.172301947602063166e+01,2.568050833375482966e+01
4.126374889912058919e-01,1.664878595099885450e+00,5.421601913425924124e+00,1.192370289054667154e+01,2.791224850172179117e+01
4.936547708091595932e-01,1.748042531338435346e+00,5.511205812926262659e+00,1.216337066840127967e+01,3.033793592776426706e+01
5.737737381725726005e-01,1.831384625089162999e+00,5.604217285838934082e+00,1.244464460662461569e+01,3.297442541400256744e+01
6.528433088443582610e-01,1.914983941760578956e+00,5.701405840509241152e+00,1.277040599796547582e+01,3.584003651311510907e+01
7.307205605609849997e-01,1.998935062306913757e+00,5.803578567544700029e+00,1.314381673889558932e+01,3.895468082109351826e+01
8.072698048522894965e-01,2.083348619841575822e+00,5.911585064809434797e+00,1.356834234231052783e+01,4.234000033225349569e+01
8.823616814692204491e-01,2.168351935938348962e+00,6.026322699345734613e+00,1.404777701687347502e+01,4.601951781785650297e+01
9.558722694350798577e-01,2.254089762184490198e+00,6.148742240432721218e+00,1.458627098921827603e+01,5.001880027324257583e+01
